,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
87303,11149,Female,Loyal Customer,36,Personal Travel,Eco,429,3,4,3,3,3,3,3,3,5,1,4,2,5,3,12,20,neutral or dissatisfied
87304,109922,Female,Loyal Customer,40,Personal Travel,Eco,1034,2,5,2,3,2,2,5,2,4,5,5,5,5,2,0,0,neutral or dissatisfied
87305,56927,Female,disloyal Customer,49,Business travel,Business,2454,2,2,2,2,2,1,1,4,5,3,4,1,4,1,0,0,neutral or dissatisfied
87306,6882,Female,disloyal Customer,22,Business travel,Eco,265,2,0,2,1,5,2,3,5,3,4,5,4,4,5,0,0,neutral or dissatisfied
87307,118045,Female,disloyal Customer,29,Business travel,Business,1262,2,2,2,2,4,2,3,4,5,3,4,5,5,4,0,0,neutral or dissatisfied
87308,25930,Female,Loyal Customer,22,Personal Travel,Eco,594,0,4,0,3,2,0,2,2,4,2,3,3,4,2,7,59,satisfied
87309,16357,Male,Loyal Customer,54,Business travel,Eco,319,5,1,1,1,5,5,5,5,4,1,5,3,1,5,7,0,satisfied
87310,64854,Male,Loyal Customer,26,Business travel,Business,247,0,0,0,1,3,3,3,3,4,4,4,3,4,3,0,0,satisfied
87311,6314,Male,Loyal Customer,57,Business travel,Business,2198,0,0,0,5,3,4,5,3,3,3,3,3,3,4,0,0,satisfied
87312,4846,Male,disloyal Customer,23,Business travel,Eco,500,2,3,1,3,5,1,5,5,2,2,2,4,3,5,0,0,neutral or dissatisfied
87313,71939,Female,Loyal Customer,7,Personal Travel,Eco Plus,1744,1,4,1,3,3,1,3,3,5,4,5,4,4,3,0,0,neutral or dissatisfied
87314,42583,Female,Loyal Customer,46,Personal Travel,Eco,315,2,5,2,2,3,5,5,4,4,2,4,3,4,5,28,26,neutral or dissatisfied
87315,93557,Male,Loyal Customer,70,Personal Travel,Eco,949,2,2,2,3,2,2,2,2,1,1,4,1,4,2,0,0,neutral or dissatisfied
87316,42236,Male,disloyal Customer,17,Business travel,Eco,451,2,4,2,3,3,2,3,3,3,1,4,4,3,3,0,0,neutral or dissatisfied
87317,129374,Male,Loyal Customer,35,Business travel,Business,2565,1,1,1,1,4,3,5,2,2,2,2,3,2,3,0,0,satisfied
87318,119592,Male,Loyal Customer,42,Business travel,Business,1979,1,1,1,1,3,3,4,4,4,4,4,4,4,5,0,0,satisfied
87319,93330,Male,Loyal Customer,51,Business travel,Business,2029,4,4,4,4,5,5,5,3,3,3,3,3,3,3,19,6,satisfied
87320,31057,Male,disloyal Customer,17,Business travel,Eco,775,2,2,2,4,3,2,3,3,2,5,3,3,3,3,2,4,neutral or dissatisfied
87321,83900,Female,Loyal Customer,48,Personal Travel,Business,1678,3,4,3,5,5,5,3,5,5,3,5,4,5,3,52,36,neutral or dissatisfied
87322,75068,Female,disloyal Customer,23,Business travel,Eco,2611,2,2,2,3,5,2,5,5,2,2,4,2,3,5,0,0,neutral or dissatisfied
87323,69689,Male,Loyal Customer,58,Personal Travel,Eco Plus,569,1,5,1,5,1,1,1,1,3,5,5,5,4,1,0,0,neutral or dissatisfied
87324,71234,Male,Loyal Customer,44,Business travel,Business,733,5,5,5,5,3,4,4,5,5,5,5,4,5,3,1,0,satisfied
87325,75990,Female,Loyal Customer,42,Personal Travel,Eco,297,3,4,3,4,1,4,3,4,4,3,4,4,4,2,0,0,neutral or dissatisfied
87326,104189,Female,Loyal Customer,66,Personal Travel,Eco Plus,349,2,4,2,5,3,5,5,1,1,2,1,5,1,5,0,3,neutral or dissatisfied
87327,68785,Female,Loyal Customer,68,Business travel,Business,926,2,5,1,5,1,4,3,2,2,2,2,4,2,4,5,7,neutral or dissatisfied
87328,2984,Female,Loyal Customer,43,Personal Travel,Eco Plus,462,4,4,4,4,2,4,5,2,2,4,4,1,2,1,0,0,satisfied
87329,14162,Female,disloyal Customer,20,Business travel,Eco,526,2,2,2,3,1,2,1,1,3,2,3,4,4,1,0,0,neutral or dissatisfied
87330,57845,Male,Loyal Customer,38,Business travel,Eco Plus,1491,3,2,2,2,3,3,3,3,3,5,3,1,3,3,0,0,neutral or dissatisfied
